sample-id	treatment	plant
DNA_192	H5Dr(U3)	bean
DNA_193	H5Dr(U4)	bean
DNA_194	H5Dr(U5)	bean
DNA_195-neg	Control25	bean
DNA_196-neg	Control26	bean
DNA_197	H1WW(P1)	bean
DNA_198	H1WW(P2)	bean
DNA_199	H1WW(P3)	bean
DNA_200	H1WW(P4)	bean
DNA_201	H1WW(P5)	bean
DNA_202	H1WW(U1)	bean
DNA_203	H1WW(U2)	bean
DNA_204	H1WW(U3)	bean
DNA_205	H1WW(U4)	bean
DNA_206	H1WW(U5)	bean
DNA_207-neg	Control27	bean
DNA_208-neg	Control28	bean
DNA_209	H2WW(P1)	bean
DNA_210	H2WW(P2)	bean
DNA_211	H2WW(P3)	bean
DNA_212	H2WW(P4)	bean
DNA_213	H2WW(P5)	bean
DNA_214	H2WW(U1)	bean
DNA_215	H2WW(U2)	bean
DNA_216	H2WW(U3)	bean
DNA_217	H2WW(U4)	bean
DNA_218	H2WW(U5)	bean
DNA_219	H3WW(P1)	bean
DNA_220	H3WW(P2)	bean
DNA_221	H3WW(P3)	bean
DNA_222	H3WW(P4)	bean
DNA_223	H3WW(P5)	bean
DNA_224-neg	Control29	bean
DNA_225-neg	Control30	bean
DNA_226	H3WW(U1)	bean
DNA_227	H3WW(U2)	bean
DNA_228	H3WW(U3)	bean
DNA_229	H3WW(U4)	bean
DNA_230	H3WW(U5)	bean
DNA_231	H4WW(P1)	bean
DNA_232	H4WW(P2)	bean
DNA_233	H4WW(P3)	bean
DNA_234	H4WW(P4)	bean
DNA_235	H4WW(P5)	bean
DNA_236	H4WW(U1)	bean
DNA_237	H4WW(U2)	bean
DNA_238	H4WW(U3)	bean
DNA_239	H4WW(U4)	bean
DNA_240	H4WW(U5)	bean
DNA_241-neg	Control31	bean
DNA_242-neg	Control32	bean
DNA_243	H5WW(P1)	bean
DNA_244	H5WW(P2)	bean
DNA_245	H5WW(P3)	bean
DNA_246	H5WW(P4)	bean
DNA_247	H5WW(P5)	bean
DNA_248	H5WW(U1)	bean
DNA_249	H5WW(U2)	bean
DNA_250	H5WW(U3)	bean
DNA_251	H5WW(U4)	bean
DNA_252	H5WW(U5)	bean
positivecontrol3-Shade	Shadeposcontrol3	bean
RTSF_NTC_753	RTSF_negcontrol	bean
RTSF_NTC_763	RTSF_negcontrol	bean
ZymoMockDNA_754	RTSF_poscontrol	bean
DNA_253-neg	Control33	bean
DNA_254-neg	Control34	bean
redoDNAbox398-neg1	Control35	bean
redoDNAbox398-neg2	Control36	bean
redoDNAbox401-neg1	Control37	bean
redoDNAbox401-neg2	Control38	bean
redoDNAbox409-neg1	Control39	bean
redoDNAbox414-neg1	Control40	bean
redoDNAbox414-neg2	Control41	bean
positivecontrol4-Shade	Shadeposcontrol4	bean
RTSF_NTC_755	RTSF_negcontrol	bean
ZymoMockDNA_756	RTSF_poscontrol	bean
cDNA_1	PreDr(P1)	switchgrass
cDNA_2	PreDr(P2)	switchgrass
cDNA_3	PreDr(P3)	switchgrass
cDNA_4	PreDr(P4)	switchgrass
cDNA_5	PreDr(P5)	switchgrass
cDNA_6	PreDr(U1)	switchgrass
cDNA_7	PreDr(U2)	switchgrass
cDNA_8	PreDr(U3)	switchgrass
cDNA_9	PreDr(U4)	switchgrass
cDNA_10	PreDr(U5)	switchgrass
cDNA_13	H1Dr(P1)	switchgrass
cDNA_14	H1Dr(P2)	switchgrass
cDNA_15	H1Dr(P3)	switchgrass
cDNA_16	H1Dr(P4)	switchgrass
cDNA_17	H1Dr(P5)	switchgrass
cDNA_18	H1Dr(U1)	switchgrass
cDNA_19	H1Dr(U2)	switchgrass
cDNA_20	H1Dr(U3)	switchgrass
cDNA_21	H1Dr(U4)	switchgrass
cDNA_22	H1Dr(U5)	switchgrass
cDNA_25	H2Dr(P1)	switchgrass
cDNA_26	H2Dr(P2)	switchgrass
cDNA_27	H2Dr(P3)	switchgrass
cDNA_28	H2Dr(P4)	switchgrass
cDNA_29	H2Dr(P5)	switchgrass
cDNA_30	H2Dr(U1)	switchgrass
cDNA_31	H2Dr(U2)	switchgrass
cDNA_32	H2Dr(U3)	switchgrass
cDNA_33	H2Dr(U4)	switchgrass
cDNA_34	H2Dr(U5)	switchgrass
cDNA_37	H3Dr(P1)	switchgrass
cDNA_38	H3Dr(P2)	switchgrass
cDNA_39	H3Dr(P3)	switchgrass
cDNA_40	H3Dr(P4)	switchgrass
cDNA_41	H3Dr(P5)	switchgrass
cDNA_42	H3Dr(U1)	switchgrass
cDNA_43	H3Dr(U2)	switchgrass
cDNA_44	H3Dr(U3)	switchgrass
cDNA_45	H3Dr(U4)	switchgrass
cDNA_46	H3Dr(U5)	switchgrass
cDNA_49	H4Dr(P1)	switchgrass
cDNA_50	H4Dr(P2)	switchgrass
cDNA_51	H4Dr(P3)	switchgrass
cDNA_52	H4Dr(P4)	switchgrass
cDNA_53	H4Dr(P5)	switchgrass
cDNA_54	H4Dr(U1)	switchgrass
cDNA_55	H4Dr(U2)	switchgrass
cDNA_56	H4Dr(U3)	switchgrass
cDNA_57	H4Dr(U4)	switchgrass
cDNA_58	H4Dr(U5)	switchgrass
cDNA_59	H5Dr(P1)	switchgrass
cDNA_60	H5Dr(P2)	switchgrass
cDNA_61	H5Dr(P3)	switchgrass
cDNA_62	H5Dr(P4)	switchgrass
cDNA_63	H5Dr(P5)	switchgrass
cDNA_64	H5Dr(U1)	switchgrass
cDNA_65	H5Dr(U2)	switchgrass
cDNA_66	H5Dr(U3)	switchgrass
cDNA_67	H5Dr(U4)	switchgrass
cDNA_68	H5Dr(U5)	switchgrass
cDNA_71	H1WW(P1)	switchgrass
cDNA_72	H1WW(P2)	switchgrass
cDNA_73	H1WW(P3)	switchgrass
cDNA_74	H1WW(P4)	switchgrass
cDNA_75	H1WW(P5)	switchgrass
cDNA_76	H1WW(U1)	switchgrass
cDNA_77	H1WW(U2)	switchgrass
cDNA_78	H1WW(U3)	switchgrass
cDNA_79	H1WW(U4)	switchgrass
cDNA_80	H1WW(U5)	switchgrass
cDNA_81	H2WW(P1)	switchgrass
cDNA_82	H2WW(P2)	switchgrass
cDNA_83	H2WW(P3)	switchgrass
cDNA_84	H2WW(P4)	switchgrass
cDNA_85	H2WW(P5)	switchgrass
cDNA_86	H2WW(U1)	switchgrass
cDNA_87	H2WW(U2)	switchgrass
cDNA_88	H2WW(U3)	switchgrass
cDNA_89	H2WW(U4)	switchgrass
cDNA_90	H2WW(U5)	switchgrass
cDNA_93	H3WW(P1)	switchgrass
cDNA_94	H3WW(P2)	switchgrass
cDNA_95	H3WW(P3)	switchgrass
cDNA_96	H3WW(P4)	switchgrass
cDNA_97	H3WW(P5)	switchgrass
cDNA_98	H3WW(U1)	switchgrass
cDNA_99	H3WW(U2)	switchgrass
cDNA_100	H3WW(U3)	switchgrass
cDNA_101	H3WW(U4)	switchgrass
cDNA_102	H3WW(U5)	switchgrass
cDNA_105	H4WW(P1)	switchgrass
cDNA_106	H4WW(P2)	switchgrass
cDNA_107	H4WW(P3)	switchgrass
cDNA_108	H4WW(P4)	switchgrass
cDNA_109	H4WW(P5)	switchgrass
cDNA_110	H4WW(U1)	switchgrass
cDNA_111	H4WW(U2)	switchgrass
cDNA_112	H4WW(U3)	switchgrass
cDNA_113	H4WW(U4)	switchgrass
cDNA_114	H4WW(U5)	switchgrass
cDNA_115	H5WW(P1)	switchgrass
cDNA_116	H5WW(P2)	switchgrass
cDNA_117	H5WW(P3)	switchgrass
cDNA_118	H5WW(P4)	switchgrass
cDNA_119	H5WW(P5)	switchgrass
cDNA_122	H5WW(U1)	switchgrass
cDNA_123	H5WW(U2)	switchgrass
cDNA_124	H5WW(U3)	switchgrass
cDNA_125	H5WW(U4)	switchgrass
cDNA_126	H5WW(U5)	switchgrass
cDNA_127	PreDr(P1)	bean
cDNA_128	PreDr(P2)	bean
cDNA_129	PreDr(P3)	bean
cDNA_130	PreDr(P4)	bean
cDNA_131	PreDr(P5)	bean
cDNA_134	PreDr(U1)	bean
cDNA_135	PreDr(U2)	bean
cDNA_136	PreDr(U3)	bean
cDNA_137	PreDr(U4)	bean
cDNA_138	PreDr(U5)	bean
cDNA_139	H1Dr(P1)	bean
cDNA_140	H1Dr(P2)	bean
cDNA_141	H1Dr(P3)	bean
cDNA_142	H1Dr(P4)	bean
cDNA_143	H1Dr(P5)	bean
cDNA_146	H1Dr(U1)	bean
cDNA_147	H1Dr(U2)	bean
cDNA_148	H1Dr(U3)	bean
cDNA_149	H1Dr(U4)	bean
cDNA_150	H1Dr(U5)	bean
cDNA_151	H2Dr(P1)	bean
cDNA_152	H2Dr(P2)	bean
cDNA_153	H2Dr(P3)	bean
cDNA_154	H2Dr(P4)	bean
cDNA_155	H2Dr(P5)	bean
cDNA_156	H2Dr(U1)	bean
cDNA_157	H2Dr(U2)	bean
cDNA_158	H2Dr(U3)	bean
cDNA_159	H2Dr(U4)	bean
cDNA_160	H2Dr(U5)	bean
cDNA_163	H3Dr(P1)	bean
cDNA_164	H3Dr(P2)	bean
cDNA_165	H3Dr(P3)	bean
cDNA_166	H3Dr(P4)	bean
cDNA_167	H3Dr(P5)	bean
cDNA_168	H3Dr(U1)	bean
cDNA_169	H3Dr(U2)	bean
cDNA_170	H3Dr(U3)	bean
cDNA_171	H3Dr(U4)	bean
cDNA_172	H3Dr(U5)	bean
cDNA_173	H4Dr(P1)	bean
cDNA_174	H4Dr(P2)	bean
cDNA_175	H4Dr(P3)	bean
cDNA_176	H4Dr(P4)	bean
cDNA_177	H4Dr(P5)	bean
cDNA_180	H4Dr(U1)	bean
cDNA_181	H4Dr(U2)	bean
cDNA_182	H4Dr(U3)	bean
cDNA_183	H4Dr(U4)	bean
cDNA_184	H4Dr(U5)	bean
cDNA_185	H5Dr(P1)	bean
cDNA_186	H5Dr(P2)	bean
cDNA_187	H5Dr(P3)	bean
cDNA_188	H5Dr(P4)	bean
cDNA_189	H5Dr(P5)	bean
cDNA_190	H5Dr(U1)	bean
cDNA_191	H5Dr(U2)	bean
cDNA_192	H5Dr(U3)	bean
cDNA_193	H5Dr(U4)	bean
cDNA_194	H5Dr(U5)	bean
cDNA_197	H1WW(P1)	bean
cDNA_198	H1WW(P2)	bean
cDNA_199	H1WW(P3)	bean
cDNA_200	H1WW(P4)	bean
cDNA_201	H1WW(P5)	bean
cDNA_202	H1WW(U1)	bean
cDNA_203	H1WW(U2)	bean
cDNA_204	H1WW(U3)	bean
cDNA_205	H1WW(U4)	bean
cDNA_206	H1WW(U5)	bean
cDNA_209	H2WW(P1)	bean
cDNA_210	H2WW(P2)	bean
cDNA_211	H2WW(P3)	bean
cDNA_212	H2WW(P4)	bean
cDNA_213	H2WW(P5)	bean
cDNA_214	H2WW(U1)	bean
cDNA_215	H2WW(U2)	bean
cDNA_216	H2WW(U3)	bean
cDNA_217	H2WW(U4)	bean
cDNA_218	H2WW(U5)	bean
cDNA_219	H3WW(P1)	bean
cDNA_220	H3WW(P2)	bean
cDNA_221	H3WW(P3)	bean
cDNA_222	H3WW(P4)	bean
cDNA_223	H3WW(P5)	bean
cDNA_226	H3WW(U1)	bean
cDNA_227	H3WW(U2)	bean
cDNA_228	H3WW(U3)	bean
cDNA_229	H3WW(U4)	bean
cDNA_230	H3WW(U5)	bean
cDNA_231	H4WW(P1)	bean
cDNA_232	H4WW(P2)	bean
cDNA_233	H4WW(P3)	bean
cDNA_234	H4WW(P4)	bean
cDNA_235	H4WW(P5)	bean
cDNA_236	H4WW(U1)	bean
cDNA_237	H4WW(U2)	bean
cDNA_238	H4WW(U3)	bean
cDNA_239	H4WW(U4)	bean
cDNA_240	H4WW(U5)	bean
cDNA_243	H5WW(P1)	bean
cDNA_244	H5WW(P2)	bean
cDNA_245	H5WW(P3)	bean
cDNA_246	H5WW(P4)	bean
cDNA_247	H5WW(P5)	bean
cDNA_248	H5WW(U1)	bean
cDNA_249	H5WW(U2)	bean
cDNA_250	H5WW(U3)	bean
cDNA_251	H5WW(U4)	bean
cDNA_252	H5WW(U5)	bean
cDNA_11	Control42	NA
cDNA_12	Control43	NA
cDNA_23	Control44	NA
cDNA_24	Control45	NA
cDNA_dil1-24-neg1	Control46	NA
cDNA_dil1-24-neg2	Control47	NA
cDNA_1-12-neg1	Control48	NA
cDNA_1-12-neg2	Control49	NA
cDNA_13-24-neg1	Control50	NA
cDNA_13-24-neg2	Control51	NA
cDNA-25-90neg1	Control52	NA
cDNA-25-90neg2	Control53	NA
cDNA-93-142neg1	Control54	NA
cDNA-93-142neg2	Control55	NA
cDNA-147-206neg1	Control56	NA
cDNA-147-206neg2	Control57	NA
DNA_129R	PreDr(P3)	bean
positivecontrol5-Shade	Shadeposcon5	NA
RTSF_NTC1	RTSFnegcon	NA
RTSF_NTC_772	RTSFnegcon	NA
RTSF_NTC_774	RTSFnegcon	NA
ZymoMockDNA_773	RTSFposcon	NA
cDNA-209-252neg1	Control58	NA
cDNA-209-252neg2	Control59	NA
cDNA-59-245redo-neg1	Control60	NA
cDNA-59-245redo-neg2	Control61	NA
cDNA-20-177redo-neg1	Control62	NA
cDNA-20-177redo-neg2	Control63	NA
cDNA-9-151redo-neg1	Control64	NA
cDNA-9-151redo-neg2	Control65	NA
positivecontrol6-Shade	Shadeposcon6	NA
RTSF_NTC	RTSFnegcon	NA
RTSF_NTC_775	RTSFnegcon	NA
RTSF_NTC_776	RTSFnegcon	NA
ZymoMockDNA_777	RTSFposcon	NA
